Nom chimique/DCI,Numéro CAS,Numéro CE
"bis[hydrogéno[4-[4-(diethylamino)-5′-hydroxy-2′,4′-disulfonatobenzhydrylidène]cyclohexa-2,5-diène-1-ylidène]diéthylammonium], sel de calcium (Acid Blue 3; CI 42051) en cas d’utilisation comme substance dans les teintures capillaires",3536-49-0,222-573-8
"dihydrogéno(éthyl)[4-[4-[éthyl(3-sulfonatobenzyl)amino](4-hydroxy- 2-sulfonatobenzhydrylidène]cyclohexa-2,5-diène-1-ylidène](3-sulfonatobenzyl)ammonium, sel de disodium (Fast Green FCF; CI 42053) en cas d’utilisation comme substance dans les teintures capillaires",2353-45-9,219-091-5
"isobenzofurannedione-1,3, produits de réaction avec la méthylquinoléine et la quinoléine (Solvent Yellow 33; CI 47000) en cas d’utilisation comme substance dans les teintures capillaires",8003-22-3,232-318-2
nigrosine (CI 50420) en cas d’utilisation comme substance dans les teintures capillaires,8005-03-06,—
"8,18-dichloro-5,15-diéthyl-5,15-dihydrodiindolo[3,2-b:3′,2′-m]triphénodioxazine (Pigment Violet 23; CI 51319) en cas d’utilisation comme substance dans les teintures capillaires",6358-30-1,228-767-9
"1,2-dihydroxyanthraquinone (Pigment Red 83; CI 58000) en cas d’utilisation comme substance dans les teintures capillaires",72-48-0,200-782-5
"8-hydroxypyrène-1,3,6-trisulfonate-de-trisodium (Solvent Green 7; CI 59040) en cas d’utilisation comme substance dans les teintures capillaires",6358-69-6,228-783-6
"1-hydroxy-4-(p-toluidino)anthraquinone (Solvent Violet 13; CI 60725), en cas d’utilisation comme substance dans les teintures capillaires",81-48-1,201-353-5
"1,4-bis(p-tolylamino)anthraquinone (Solvent Green 3; CI 61565) en cas d’utilisation comme substance dans les teintures capillaires",128-80-3,204-909-5
6-chloro-2-(6-chloro-4-méthyl-3-oxobenzo[b]thiène-2(3H)-ylidène)- 4-méthylbenzo[b]thiophène-3(2H)-one (VAT Red 1; CI 73360) en cas d’utilisation comme substance dans les teintures capillaires,2379-74-0,219-163-6
"5,12-dihydroquino[2,3-b]acridine-7,14-dione (Pigment Violet 19; CI 73900) en cas d’utilisation comme substance dans les teintures capillaires",1047-16-1,213-879-2
"[29H,31H-phtalocyaninato(2-)-N29,N30,N31,N32]cuivre (Pigment Blue 15; CI 74160) en cas d’utilisation comme substance dans les teintures capillaires",147-14-8,205-685-1
"[29H,31H-phtalocyaninedisulfonato(4-)- N29,N30,N31,N32]cuprate(2-) de disodium (Direct Blue 86; CI 74180) en cas d’utilisation comme substance dans les teintures capillaires",1330-38-7,215-537-8
"phtalocyanine contenant du cuivre, polychloro (Pigment Green 7; CI 74260) en cas d’utilisation comme substance dans les teintures capillaires",1328-53-6,215-524-7
"Diéthylène glycol (DEG), 2,2′-oxydiéthanol pour le niveau des traces, voir annexe III",111-46-6,203-872-2
Phytonadione [INCI]/phytomenadione [INN],84-80-0/81818-54-4,201-564-2/279-833-9
2-Aminophénol (o-Aminophenol; CI 76520) et ses sels,95-55-6/67845-79-8/51-19-4,202-431-1/267-335-4
N-(2-nitro-4-aminophényl)-allylamine (HC Red No. 16) et ses sels,160219-76-1,
"4-hydroxybenzoate d'isopropyle (INCI: Isopropylparaben)
 Sel de sodium ou sels d'isopropylparaben",4191-73-5,224-069-3
4-hydroxybenzoate d'isobutyle (INCI: Isobutylparaben),4247-02-03,224-208-8
Sel de sodium ou sels d'isobutylparaben,84930-15-4,284-595-4
4-hydroxybenzoate de phényle (INCI: Phenylparaben),17696-62-7,241-698-9
4-hydroxybenzoate de benzyle (INCI: Benzylparaben),94-18-8,
4-hydroxybenzoate de pentyle (INCI: Pentylparaben),6521-29-5,229-408-9
3-benzylidène camphre,15087-24-8,239-139-9
3- et 4-(4-Hydroxy- 4-méthylpentyl)cyclohex-3-ène-1- carbaldéhyde (HICC) (5),"51414-25-6/
 31906-04-4","257-187-9/
 250-863-4"
"2,6-dihydroxy-4-méthyl-benzaldéhyde (atranol) (5)",526-37-4,—
"3-chloro-2,6-dihydroxy-4-méthyl-benzaldéhyde (chloroatranol) (5)",57074-21-2,—
Extrait de fleurs de Tagetes erecta (6),90131-43-4,290-353-9
Huile essentielle de Tagetes erecta (7),90131-43-4,290-353-9/-
"2-Chlorobenzène-1,4-diamine (2-Chloro-p-Phenylenediamine) et ses sels sulfates et dichlorhydrates (8) en cas d'utilisation comme substance dans les produits de teintures capillaires, y compris les produits de teintures destinées aux sourcils, et les produits de teintures destinées aux cils","615-66-7
 61702-44-1 (sulfate)
 615-46-3 (dichlorhydrate)","210-441-2
 262-915-3
 210-427-6"
"Chlorure de cis-1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane (cis-CTAC)",51229-78-8,426-020-3
"Chlorure de cis-1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane (cis-CTAC), quaternium-15",51229-78-8,426-020-3
2-Chloroacétamide,79-07-2,201-174-2
Octaméthylcyclotétrasiloxane,556-67-2,209-136-7
Dichlorométhane; chlorure de méthylène,75-09-2,200-838-9
"2,2′-[(3,3′,5,5′-Tétraméthyl-(1,1′-biphényl)-4,4′-diyl)-bis(oxyméthylène)]-bis-oxiranne",85954-11-6,413-900-7
Acétaldéhyde; éthanal,75-07-0,200-836-8
"Acide 1-cyclopropyl-6,7-difluoro-1,4-dihydro-4-oxoquinoléine-3-carboxylique",93107-30-3,413-760-7
N-Méthyl-2-pyrrolidone; 1-méthyl-2-pyrrolidone,872-50-4,212-828-1
Trioxyde de dibore; oxyde borique,1303-86-2,215-125-8
"Acide borique [1]
 Acide borique [2]","10043-35-3 [1]
 11113-50-1 [2]","233-139-2 [1]
 234-343-4 [2]"
"Borates, tétraborates, octaborates, ainsi que sels et esters de l’acide borique, y compris:",,
Octaborate de disodium anhydre [1],12008-41-2 [1],234-541-0 [1]
Octaborate de disodium tétrahydraté [2],12280-03-4 [2],234-541-0 [2]
"2-Aminoéthanol, monoester avec l’acide borique [3]",10377-81-8 [3],233-829-3 [3]
Dihydrogénoorthoborate de (2-hydroxypropyl)ammonium [4],68003-13-4 [4],268-109-8 [4]
"Borate de potassium; acide borique, sel de potassium [5]",12712-38-8 [5],603-184-6 [5]
Borate de trioctyldodécyle [6],,
Borate de zinc [7],1332-07-6 [7],215-566-6 [7]
"Borate de sodium, tétraborate de disodium, anhydre; acide borique, sel de sodium [8]",1330-43-4 [8],215-540-4 [8]
"Heptaoxyde de tétrabore et de disodium, hydraté [9]",12267-73-1 [9],235-541-3 [9]
"Acide orthoborique, sel de sodium [10]",13840-56-7 [10],237-560-2 [10]
Tétraborate de disodium décahydraté; borax décahydraté [11],1303-96-4 [11],215-540-4 [11]
Tétraborate de disodium pentahydraté; borax pentahydraté [12],12179-04-3 [12],215-540-4 [12]
"Perborate de sodium [1]
 Peroxométaborate de sodium; peroxoborate de sodium [2]",15120-21-5 [1],239-172-9 [1]
,"7632-04-4 [2]
 10332-33-9 [2]
 10486-00-7 [2]",231-556-4 [2]
"Acide perborique (H3BO2(O2)], sel de monosodium, trihydraté [1]",13517-20-9 [1],239-172-9 [1]
"Acide perborique, sel de sodium, tétrahydraté [2]",37244-98-7 [2],234-390-0 [2]
"Acide perborique (HBO(O2)], sel de sodium, tétrahydraté, peroxoborate de sodium hexahydraté [3]",10486-00-7 [3],231-556-4 [3]
"Acide perborique, sel de sodium [1]",11138-47-9 [1],234-390-0 [1]
"Acide perborique, sel de sodium, monohydraté [2]",12040-72-1 [2],234-390-0 [2]
"Acide perborique (HBO(O2)], sel de sodium, monohydraté [3]",10332-33-9 [3],231-556-4 [3]
Hydrogénoborate de dibutylétain,75113-37-0,401-040-5
Bis(tétrafluoroborate) de nickel,14708-14-6,238-753-4
Mancozèbe (ISO); complexe (polymérisé) d'éthylènebis(dithiocarbamate) de manganèse avec sel de zinc,8018-01-07,616-995-5
Manèbe (ISO); éthylènebis(dithiocarbamate) de manganèse (polymérisé),12427-38-2,235-654-8
"Benfuracarbe (ISO); N-[2,3-dihydro-2,2-diméthylbenzofuran-7-yloxycarbonyl(méthyl)aminothio]-N-isopropyl-β-alaninate d'éthyle",82560-54-1,617-356-3
N-Éthoxycarbonylthiocarbamate de O-isobutyle,103122-66-3,434-350-4
Chlorprophame (ISO); 3-chlorocarbanilate d'isopropyle,101-21-3,202-925-7
N-éthoxycarbonylthiocarbamate de O-hexyle,109202-58-6,432-750-3
Nitrate d'hydroxylammonium,13465-08-02,236-691-2
(4-Éthoxyphényl)(3-(4-fluoro-3-phénoxyphényl)propyl)diméthylsilane,105024-66-6,405-020-7
Phoxime (ISO); α-(diéthoxy-phosphinothioylimino)phénylacétonitrile,14816-18-3,238-887-3
Glufosinate d'ammonium (ISO); 2-amino-4-(hydroxyméthylphosphinyl)butyrate d'ammonium,77182-82-2,278-636-5
Masse de réaction de: (2-(hydroxyméthylcarbamoyl)éthyl)phosphonate de diméthyle; (2-(hydroxyméthylcarbamoyl)éthyl)phosphonate de diéthyle; (2-(hydroxyméthylcarbamoyl)éthyl)phosphonate de méthyléthyle,,435-960-3
Acide (4-phénylbutyl)phosphinique,86552-32-1,420-450-5
"Masse de réaction de: 4,7-bis(mercaptométhyl)-3,6,9-trithia-1,11-undécanedithiol; 4,8-bis(mercaptométhyl)-3,6,9-trithia-1,11-undécanedithiol; 5,7-bis(mercaptométhyl)-3,6,9-trithia-1,11-undécanedithiol",170016-25-8,427-050-1
Oxyde de potassium et de titane (K2Ti6O13),12056-51-8,432-240-0
Di(acétate) de cobalt,71-48-7,200-755-8
Dinitrate de cobalt,10141-05-06,233-402-1
Carbonate de cobalt,513-79-1,208-169-4
Dichlorure de nickel,7718-54-9,231-743-0
Dinitrate de nickel [1],13138-45-9 [1],236-068-5 [1]
"Acide nitrique, sel de nickel [2]",14216-75-2 [2],238-076-4 [2]
Matte de nickel,69012-50-6,273-749-6
"Boues et sédiments, d'affinage électrolytique du cuivre, décuivrés, contenant du sulfate de nickel",92129-57-2,295-859-3
"Boues et sédiments, d'affinage électrolytique du cuivre, décuivrés",94551-87-8,305-433-1
"Diperchlorate de nickel; acide perchlorique, sel de nickel(II)",13637-71-3,237-124-1
Bis(sulfate) de nickel et de dipotassium [1],13842-46-1 [1],237-563-9 [1]
Bis(sulfate) de diammonium et de nickel [2],15699-18-0 [2],239-793-2 [2]
Bis(sulfamidate) de nickel; sulfamate de nickel,13770-89-3,237-396-1
Bis(tétrafluoroborate) de nickel,14708-14-6,238-753-4
Diformiate de nickel [1],3349-06-2 [1],222-101-0 [1]
"Acide formique, sel de nickel [2]",15843-02-4 [2],239-946-6 [2]
"Acide formique, sel de cuivre et de nickel [3]",68134-59-8 [3],268-755-0 [3]
Di(acétate) de nickel [1],373-02-4 [1],206-761-7 [1]
Acétate de nickel [2],14998-37-9 [2],239-086-1 [2]
Dibenzoate de nickel,553-71-9,209-046-8
Bis(4-cyclohexylbutyrate) de nickel,3906-55-6,223-463-2
Stéarate de nickel(II); octadécanoate de nickel(II),2223-95-2,218-744-1
Dilactate de nickel,16039-61-5,—
Octanoate de nickel(II),4995-91-9,225-656-7
Difluorure de nickel [1],10028-18-9 [1],233-071-3 [1]
Dibromure de nickel [2],13462-88-9 [2],236-665-0 [2]
Diiodure de nickel [3],13462-90-3 [3],236-666-6 [3]
Fluorure de nickel et de potassium [4],11132-10-8 [4],— [4]
Hexafluorosilicate de nickel,26043-11-8,247-430-7
Sélénate de nickel,15060-62-5,239-125-2
Hydrogénophosphate de nickel [1],14332-34-4 [1],238-278-2 [1]
Bis(dihydrogénophosphate) de nickel [2],18718-11-1 [2],242-522-3 [2]
Bis(orthophosphate) de trinickel [3],10381-36-9 [3],233-844-5 [3]
Diphosphate de dinickel [4],14448-18-1 [4],238-426-6 [4]
Bis(phosphinate) de nickel [5],14507-36-9 [5],238-511-8 [5]
Phosphinate de nickel [6],36026-88-7 [6],252-840-4 [6]
"Acide phosphorique, sel de calcium et de nickel [7]",17169-61-8 [7],— [7]
"Acide diphosphorique, sel de nickel(II) [8]",19372-20-4 [8],— [8]
Hexacyanoferrate de diammonium et de nickel,74195-78-1,—
Dicyanure de nickel,557-19-7,209-160-8
Chromate de nickel,14721-18-7,238-766-5
Silicate de nickel(II) [1],21784-78-1 [1],244-578-4 [1]
Orthosilicate de dinickel [2],13775-54-7 [2],237-411-1 [2]
Silicate de nickel (3:4) [3],31748-25-1 [3],250-788-7 [3]
"Acide silicique, sel de nickel [4]",37321-15-6 [4],253-461-7 [4]
Hydroxybis[orthosilicato(4-)]trinickelate(3-) de trihydrogène [5],12519-85-6 [5],235-688-3 [5]
Hexacyanoferrate de dinickel,14874-78-3,238-946-3
Bis(arsénate) de trinickel; arsénate de nickel(II),13477-70-8,236-771-7
Oxalate de nickel [1],547-67-1 [1],208-933-7 [1]
"Acide oxalique, sel de nickel [2]",20543-06-0 [2],243-867-2 [2]
Tellurure de nickel,12142-88-0,235-260-6
Tétrasulfure de trinickel,12137-12-1,—
Bis(arsénite) de trinickel,74646-29-0,—
Périclase grise de cobalt et de nickel; pigment C.I. Noir 25; C.I. 77332 [1],68186-89-0 [1],269-051-6 [1]
Dioxyde de cobalt et de nickel [2],58591-45-0 [2],261-346-8 [2]
Oxyde de cobalt et de nickel [3],12737-30-3 [3],620-395-9 [3]
Trioxyde de nickel et d'étain; stannate de nickel,12035-38-0,234-824-9
Décaoxyde de nickel et de triuranium,15780-33-3,239-876-6
Dithiocyanate de nickel,13689-92-4,237-205-1
Dichromate de nickel,15586-38-6,239-646-5
Sélénite de nickel(II),10101-96-9,233-263-7
Séléniure de nickel,1314-05-02,215-216-2
"Acide silicique, sel de plomb et de nickel",68130-19-8,—
Diarséniure de nickel [1],12068-61-0 [1],235-103-1 [1]
Arséniure de nickel [2],27016-75-7 [2],248-169-1 [2]
"Pridérite jaune clair de nickel, de baryum et de titane; pigment C.I. Jaune 157; C.I. 77900",68610-24-2,271-853-6
Dichlorate de nickel [1],67952-43-6 [1],267-897-0 [1]
Dibromate de nickel [2],14550-87-9 [2],238-596-1 [2]
"Hydrogénosulfate d'éthyle, sel de nickel(II) [3]",71720-48-4 [3],275-897-7 [3]
Trifluoroacétate de nickel(II) [1],16083-14-0 [1],240-235-8 [1]
Propionate de nickel(II) [2],3349-08-4 [2],222-102-6 [2]
Bis(benzènesulfonate) de nickel [3],39819-65-3 [3],254-642-3 [3]
Hydrogénocitrate de nickel(II) [4],18721-51-2 [4],242-533-3 [4]
"Acide citrique, sel d'ammonium et de nickel [5]",18283-82-4 [5],242-161-1 [5]
"Acide citrique, sel de nickel [6]",22605-92-1 [6],245-119-0 [6]
Bis(2-éthylhexanoate) de nickel [7],4454-16-4 [7],224-699-9 [7]
"Acide 2-éthylhexanoïque, sel de nickel [8]",7580-31-6 [8],231-480-1 [8]
"Acide diméthylhexanoïque, sel de nickel [9]",93983-68-7 [9],301-323-2 [9]
Isooctanoate de nickel(II) [10],29317-63-3 [10],249-555-2 [10]
Isooctanoate de nickel [11],27637-46-3 [11],248-585-3 [11]
Bis(isononanoate) de nickel [12],84852-37-9 [12],284-349-6 [12]
Néononanoate de nickel(II) [13],93920-10-6 [13],300-094-6 [13]
Isodécanoate de nickel(II) [14],85508-43-6 [14],287-468-1 [14]
Néodécanoate de nickel(II) [15],85508-44-7 [15],287-469-7 [15]
"Acide néodécanoïque, sel de nickel [16]",51818-56-5 [16],257-447-1 [16]
Néoundécanoate de nickel(II) [17],93920-09-3 [17],300-093-0 [17]
"Bis(D-gluconato-O 1,O 2)nickel [18]",71957-07-8 [18],276-205-6 [18]
5-Bis(tert-butyl)-4-hydroxybenzoate de nickel (1:2) [19],52625-25-9 [19],258-051-1 [19]
Palmitate de nickel(II) [20],13654-40-5 [20],237-138-8 [20]
(2-Éthylhexanoato-O)(isononanoato-O)nickel [21],85508-45-8 [21],287-470-2 [21]
(Isononanoato-O)(isooctanoato-O)nickel [22],85508-46-9 [22],287-471-8 [22]
(Isooctanoato-O)(néodécanoato-O)nickel [23],84852-35-7 [23],284-347-5 [23]
(2-Éthylhexanoato-O)(isodécanoato-O)nickel [24],84852-39-1 [24],284-351-7 [24]
(2-Éthylhexanoato-O)(néodécanoato-O)nickel [25],85135-77-9 [25],285-698-7 [25]
(Isodécanoato-O)(isooctanoato-O)nickel [26],85166-19-4 [26],285-909-2 [26]
(Isodécanoato-O)(isononanoato-O)nickel [27],84852-36-8 [27],284-348-0 [27]
(Isononanoato-O)(néodécanoato-O)nickel [28],85551-28-6 [28],287-592-6 [28]
"Acides gras, ramifiés en C6-19, sels de nickel [29]",91697-41-5 [29],294-302-1 [29]
"Acides gras en C8-18 et insaturés en C18, sels de nickel [30]",84776-45-4 [30],283-972-0 [30]
"Acide 2,7-naphtalènedisulfonique, sel de nickel(II) [31]",72319-19-8 [31],[31]
Sulfite de nickel(II) [1],7757-95-1 [1],231-827-7 [1]
Trioxyde de nickel et de tellure [2],15851-52-2 [2],239-967-0 [2]
Tétraoxyde de nickel et de tellure [3],15852-21-8 [3],239-974-9 [3]
Phosphate-hydroxyde-oxyde de molybdène et de nickel [4],68130-36-9 [4],268-585-7 [4]
Borure de nickel (NiB) [1],12007-00-0 [1],234-493-0 [1]
Borure de dinickel [2],12007-01-1 [2],234-494-6 [2]
Borure de trinickel [3],12007-02-2 [3],234-495-1 [3]
Borure de nickel [4],12619-90-8 [4],235-723-2 [4]
Siliciure de dinickel [5],12059-14-2 [5],235-033-1 [5]
Sisiliciure de nickel [6],12201-89-7 [6],235-379-3 [6]
Phosphure de dinickel [7],12035-64-2 [7],234-828-0 [7]
Phosphure de nickel et de bore [8],65229-23-4 [8],- [8]
Tétraoxyde de dialuminium et de nickel [1],12004-35-2 [1],234-454-8 [1]
Trioxyde de nickel et de titane [2],12035-39-1 [2],234-825-4 [2]
Oxyde de nickel et de titane [3],12653-76-8 [3],235-752-0 [3]
Hexaoxyde de nickel et de divanadium [4],52502-12-2 [4],257-970-5 [4]
"Octaoxyde de cobalt, de dimolybdène et de nickel [5]",68016-03-5 [5],268-169-5 [5]
Trioxyde de nickel et de zirkonium [6],70692-93-2 [6],274-755-1 [6]
Tétraoxyde de molybdène et de nickel [7],14177-55-0 [7],238-034-5 [7]
Tétraoxyde de nickel et de tungstène [8],14177-51-6 [8],238-032-4 [8]
"Olivine, vert de nickel [9]",68515-84-4 [9],271-112-7 [9]
Dioxyde de lithium et de nickel [10],12031-65-1 [10],620-400-4 [10]
Oxyde de molybdène et de nickel [11],12673-58-4 [11],- [11]
"Oxyde de cobalt, de lithium et de nickel",,442-750-5
Trioxyde de molybdène,1313-27-5,215-204-7
Dichlorure de dibutylétain; (DBTC),683-18-1,211-670-0
"4,4′-Bis(N-carbamoyl-4-méthylbenzènesulfonamide)diphénylméthane",151882-81-4,418-770-5
Alcool furfurylique,98-00-0,202-626-1
"1,2-Époxy-4-époxyéthylcyclohexane; diépoxyde de 4-vinylcyclohexène",106-87-6,203-437-7
Oxyméthyloxirane de 6-glycidyloxynapht-1-yle,27610-48-6,429-960-2
2-(2-Aminoéthylamino)éthanol; (AEEA),111-41-1,203-867-5
"1,2-Diéthoxyéthane",629-14-1,211-076-1
"Chlorure de 2,3-époxypropyltriméthylammonium; chlorure de glycidyl-triméthylammonium",3033-77-0,221-221-0
"Chlorhydrate de 1-(2-amino-5-chlorophényl)-2,2,2-trifluoro-1,1-éthanediol",214353-17-0,433-580-2
(E)-3-[1-[4-[2-(Diméthylamino)éthoxy]phényl]-2-phénylbut-1-ényl]phénol,82413-20-5,428-010-4
"4,4′-(1,3-Phénylène-bis(1-méthyléthylidène)]bis-phénol",13595-25-0,428-970-4
2-Chloro-6-fluoro-phénol,2040-90-6,433-890-8
2-Méthyl-5-tert-butylthiophénol,,444-970-7
2-Butyryl-3-hydroxy-5-thiocyclohexan-3-yl-cyclohex-2-én-1-one,94723-86-1,425-150-8
Profoxydime (ISO); 2-{(EZ)-1-[(2RS)-2-(4-chlorophénoxy)propoxyimino]butyl}-3-hydroxy-5-(thian-3-yl)cyclohex-2-én-1-one,139001-49-3,604-105-8
Tépraloxydime (ISO); (RS)-(EZ)-2-{1-[(2E)-3-chloroallyloxyimino]propyl}-3-hydroxy-5-perhydropyran-4-ylcyclohex-2-én-1-one,149979-41-9,604-715-4
"3-(1,2-Éthanediylacétal)-estra-5(10),9(11)-diène-3,17-dione, cyclique",5571-36-8,427-230-8
"Androsta-1,4,9(11)-triène-3,17-dione",15375-21-0,433-560-3
Masse de réaction de: salicylates de calcium (ramifiés en C10-14 et alkylés en C18-30); phénates de calcium (ramifiés en C10-14 et alkylés en C18-30); phénates de calcium sulfurés (ramifiés en C10-14 et alkylés en C18-30),,415-930-6
"Acide 1,2-benzènedicarboxylique; esters de dialkyles ramifiés en C6-8, riches en C7",71888-89-6,276-158-1
"Masse de réaction de: diester de 4,4′-méthylènebis[2-(2-hydroxy-5-méthylbenzyl)-3,6-diméthylphénol] et acide 6-diazo-5,6-dihydro-5-oxonaphtalène-1-sulfonique (1:2); triester de 4,4′-méthylènebis[2-(2-hydroxy-5-méthylbenzyl)-3,6-diméthylphénol] et acide 6-diazo-5,6-dihydro-5-oxonaphtalène-1-sulfonique (1:3)",,427-140-9
"1-Hydroxy-2-(4-(4-carboxyphénylazo)-2,5-diméthoxyphénylazo)-7-amino-3-naphtalènesulfonate de diammonium",150202-11-2,422-670-7
Acide-3-oxoandrost-4-ène-17-β-carboxylique,302-97-6,414-990-0
Acide (Z)-2-méthoxymino-2-[2-(tritylamino)thiazol-4-yl]acétique,64485-90-1,431-520-1
Nitrilotriacétate de trisodium,5064-31-3,225-768-6
2-Éthylhexyl-2-éthylhexanoate,7425-14-1,231-057-1
Phtalate de diisobutyle,84-69-5,201-553-2
Acide perfluorooctanesulfonique; acide heptadécafluorooctane-1-sulfonique [1],1763-23-1 [1],217-179-8 [1]
Perfluorooctanesulfonate de potassium; heptadécafluorooctane-1-sulfonate de potassium [2],2795-39-3 [2],220-527-1 [2]
Perfluorooctanesulfonate de diéthanolamine [3],70225-14-8 [3],274-460-8 [3]
Perfluorooctanesulfonate d'ammonium; heptadécafluorooctanesulfonate d'ammonium [4],29081-56-9 [4],249-415-0 [4]
Perfluorooctanesulfonate de lithium; heptadécafluorooctanesulfonate de lithium [5],29457-72-5 [5],249-644-6 [5]
"1-(2,4-dichlorophényl)5-(trichlorométhyl)-1H-1,2,4-triazol-3-carboxylate d'éthyle",103112-35-2,401-290-5
Propionate de 1-bromo-2-méthylpropyle,158894-67-8,422-900-6
Carbonate de chloro-1-éthylcyclohexyle,99464-83-2,444-950-8
"6,6′-Bis(diazo-5,5′,6,6′-tétrahydro-5,5′-dioxo)[méthylène-bis(5-(6-diazo-5,6-dihydro-5-oxo-1-naphtylsulfonyloxy)-6-méthyl-2-phénylène]di(naphtalène-1-sulfonate)",,441-550-5
"Trifluraline (ISO) α,α,α-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine; 2,6-dinitro-N,N-dipropyl-4-trifluorométhylaniline; N,N-dipropyl-2,6-dinitro-4-trifluorométhylaniline",1582-09-08,216-428-8
4-Mésyl-2-nitrotoluène,1671-49-4,430-550-0
"4-[4-[7-(4-Carboxylatoanilino)-1-hydroxy-3-sulfonato-2-naphtylazo]-2,5-diméthoxyphénylazo]benzoate de triammonium",221354-37-6,432-270-4
"Masse de réaction de: 6-amino-3-[(2,5-diéthoxy-4-(3-phosphonophényl)azo)phényl)azo-4-hydroxy-2-naphtalènesulfonate de triammonium; 3-[(4-[(7-amino-1-hydroxy-3-sulfo-naphtalén-2-yl)azo)-2,5-diéthoxyphényl)azo)benzoate de diammonium",163879-69-4,438-310-7
"N,N′-Diacétylbenzidine",613-35-4,210-338-2
Cyclohexylamine,108-91-8,203-629-0
Pipérazine,110-85-0,203-808-3
Hydroxylamine,7803-49-8,232-259-2
Chlorure d'hydroxylammonium; chlorhydrate d'hydroxylamine [1],5470-11-1 [1],226-798-2 [1]
Sulfate de bis(hydroxylammonium); sulfate d'hydroxylamine (2:1) [2],10039-54-0 [2],233-118-8 [2]
"Diaminotoluène, méthylphénylènediamine, produit technique – masse de réaction de [4-méthyl-m-phénylènediamine et 2-méthyl-m-phénylènediamine]",,—
Mépanipyrim; 4-méthyl-N-phényl-6-(1-propynyl)-2-pyrimidinamine,110235-47-7,600-951-7
Hydrogénosulfate d'hydroxylammonium; sulfate d'hydroxylamine (1:1) [1],10046-00-1 [1],233-154-4 [1]
Phosphate d'hydroxylamine [2],20845-01-6 [2],244-077-0 [2]
Dihydrogénophosphate d'hydroxylamine [3],19098-16-9 [3],242-818-2 [3]
4-Méthylbenzènesulfonate d'hydroxylamine [4],53933-48-5 [4],258-872-5 [4]
Chlorure de (3-chloro-2-hydroxypropyl)triméthylammonium,3327-22-8,222-048-3
"Biphényl-3,3′,4,4′-tétrayltétraamine; diaminobenzidine",91-95-2,202-110-6
Chlorhydrate de pipérazine [1],6094-40-2 [1],228-042-7 [1]
Dichlorhydrate de pipérazine [2],142-64-3 [2],205-551-2 [2]
Phosphate de pipérazine [3],1951-97-9 [3],217-775-8 [3]
Chlorhydrate de 3-(pipérazin-1-yl)-benzo[d]isothiazole,87691-88-1,421-310-6
Chlorhydrate de 2-éthylphénylhydrazine,19398-06-02,421-460-2
Chlorure de (2-chloroéthyl)(3-hydroxypropyl)ammonium,40722-80-3,429-740-6
"Dichlorhydrate de 4-[(3-chlorophényl)(1H-imidazol-1-yl)méthyl]-1,2-benzènediamine",159939-85-2,425-030-5
"Chlorure de chloro-N,N-diméthylformiminium",3724-43-4,425-970-6
7-Méthoxy-6-(3-morpholin-4-yl-propoxy)-3H-quinazolin-4-one;,199327-61-2,429-400-7
Produits de réaction de diisopropanolamine avec formaldéhyde (1:4),220444-73-5,432-440-8
3-Chloro-4-(3-fluorobenzyloxy)aniline,202197-26-0,445-590-4
"Bromure d'éthidium; bromure de 3,8-diamino-1-éthyl-6-phénylphénantridinium",1239-45-8,214-984-6
"(R,S)-2-Amino-3,3-diméthylbutanamide",144177-62-8,447-860-7
3-Amino-9-éthylcarbazole; 9-éthylcarbazol-3-ylamine,132-32-1,205-057-7
Iodure de (6R-trans)-1-[(7-ammonio-2-carboxylato-8-oxo-5-thia-1-azabicyclo-[4.2.0]oct-2-én-3-yle)méthyl)pyridinium,100988-63-4,423-260-0
Forchlorfénuron (ISO); 1-(2-chloro-4-pyridyl)-3-phénylurée,68157-60-8,614-346-0
"Tétrahydro-1,3-diméthyl-1H-pyrimidin-2-one; diméthylpropylèneurée",7226-23-5,230-625-6
Quinoléine,91-22-5,202-051-6
"Kétoconazole; 1-[4-[4-[[(2SR,4RS)-2-(2,4-dichlorophényl)-2-(imidazol-1-ylméthyl)-1,3-dioxolan-4-yl]méthoxy]phényl]pipérazin-1-yl]éthanone",65277-42-1,265-667-4
"Metconazole (ISO); (1RS,5RS;1RS,5SR)-5-(4-chlorobenzyl)-2,2-diméthyl-1-(1H-1,2,4-triazol-1-ylméthyl)cyclopentanol",125116-23-6,603-031-3
1-Méthyl-3-morpholinocarbonyl-4-[3-(1-méthyl-3-morpholinocarbonyl-5-oxo-2-pyrazolin-4-ylidène)-1-propényl]pyrazol-5-olate de potassium,183196-57-8,418-260-2
"N,N′,N″-Tris(2-méthyl-2,3-époxypropyl)-perhydro-2,4,6-oxo-1,3,5-triazine",26157-73-3,435-010-8
Tri(3-aziridinylpropanoate) de triméthylopropane; (TAZ),52234-82-9,257-765-0
"Diisocyanate de 4,4′-méthylènediphényle; diphénylméthane-4,4′-diisocyanate [1]",101-68-8 [1],202-966-0 [1]
"Diisocyanate de 2,2′-méthylènediphényle; diphénylméthane-2,2′-diisocyanate [2]",2536-05-2 [2],219-799-4 [2]
